document,predicted,ground_truth,precision,recall,f1_score
"The first-principles calculations are performed using the Cambridge Serial Total Energy Package (CASTEP) [21] which implements the plane-wave pseudopotential DFT method. The exchange correlation functional is approximated using the generalized gradient approximation (PBE-GGA) [22], and the electron–ion interactions are described by Vanderbilt-type ultrasoft pseudopotentials [23]. The plane wave basis set is truncated at a cutoff of 400eV, and the Brillouin-zone sampling was performed using the Monkhorst-Pack scheme with a k-point spacing in reciprocal space of 0.04Å−1. Tests show that these computational parameters give results that are sufficiently accurate for present purposes. The ferromagnetism of nickel is accounted for by performing all calculations using spin polarization, starting at a ferromagnetic initial configuration and relaxing towards its ground state. However, for all compositions considered, the ground state electronic structure of each alloy is found to exhibit only very weak ferromagnetism, and the effect is not thought to influence their phase stability. Table 1 shows the calculated equilibrium lattice constants of the η phase at various Ti concentrations, using partially ordered ηP structures. The change in lattice constant upon Ti alloying is relatively small, but can be related to the ∼10% larger covalent radius of Ti. The calculated lattice constants are in good agreement with the experimental values, which relate to an alloy with a Al/Ti ratio of ∼2.75.","covalent radius, ferromagnetism, spin polarization, η phase, plane wave basis set, first-principles calculations, ti concentration, equilibrium lattice constants, pbe-gga, monkhorst-pack scheme, castep, cutoff energy, plane-wave pseudopotential dft, electronic structure, k-point spacing, brillouin-zone sampling, phase stability, vanderbilt-type ultrasoft pseudopotentials, al/ti ratio","plane wave, ferromagnetism, spin polarization, generalized gradient approximation, ηp structures, nickel, electron–ion interactions, cambridge serial total energy package, exchange correlation functional, alloy, ti, castep",0.158,0.25,0.194
"Three Runge–Kutta IMEX schemes were tested by Ullrich and Jablonowski [23] for the HEVI solution of the equations governing atmospheric motion. They tested the ARS(2,3,2) scheme of Ascher et al. [1] and also suggested the less computationally expensive but nearly as accurate Strang carryover scheme. This involves Strang splitting but the first implicit stage is cleverly re-used from the final implicit stage of the previous time-step and so there is only one implicit solution per time-step. Another novel approach taken by Ullrich and Jablonowski [23] is to use a Rosenbrock solution in order to treat all of the vertical terms implicitly rather than just the terms involved in wave propagation. A Rosenbrock solution is one iteration of a Newton solver. This circumvents the time-step restriction associated with vertical advection at the cost of slowing the vertical advection.","wave propagation, implicit stage, strang carryover scheme, vertical terms, time-step restriction, ars(2, newton solver, 2) scheme, rosenbrock solution, vertical advection, atmospheric motion equations, hevi solution, strang splitting, runge-kutta imex schemes, 3, ascher et al.","wave propagation, runge–kutta imex schemes, strang carryover scheme, atmospheric motion, newton solver, rosenbrock solution, vertical advection, hevi solution, strang splitting, slowing the vertical advection",0.438,0.7,0.538
"The measurements presented here provide evidence for the existence of di-cluster structures in 10–12,14Be. Certainly, if the breakup process samples the overlap between the wavefunctions of the ground state and the excited states, the first-chance cluster breakup cross-sections, shown in Fig. 4(a), indicate that the xHe+A−xHe cluster structure does not decrease over the mass range A=10, 12 and 14. Given also that the decay energy threshold increases with mass number, the present data may even indicate a slight increase in clustering. The breakup cross-sections also appear to demonstrate that these nuclei possess a stronger structural overlap with an α–Xn–α configuration, although the reaction mechanics by which this final state is reached may be complex. That is to say that the dominant structural mode of the neutron rich isotopes may be identified with two alpha-particles plus valence neutrons. These comprehensive measurements of the neutron-removal and cluster breakup for the first time provide experimental data whereby the structure of the most neutron-rich Be isotopes can be modeled via their reactions.","neutron-rich be isotopes, 10–12, mass number, di-cluster structures, xhe+a−xhe cluster structure, neutron-removal, cluster breakup cross-sections, decay energy threshold, 14be, cluster breakup, α–xn–α configuration","wavefunctions of the ground state and the excited states, neutron rich isotopes, valence neutrons, decay energy, breakup process, nuclei, dominant structural mode, cluster breakup, reaction mechanics",0.091,0.111,0.1
"SPS has been utilized in several studies to retain the nanostructure of aluminum alloy powders during consolidation. Ye et al. investigated the effect of processing of cryomilled Al 5083 powder via SPS [13]. X-ray Diffraction (XRD) grain size calculations before and after SPS showed that the average grain size of the alloy only increased from 25nm to 50nm (from powder to bulk state). Subsequently, the hardness values obtained through nanoindentation for specimens of AA5083 produced via SPS were highly improved in comparison to conventional sintering methods were grain coarsening takes place on a larger scale. In another study the combination of cryomilling and SPS of AA-5356/B4C nanocomposites powder was found to largely improve the microhardness and flexural strengths of the bulk nanocomposite. Rana et al. [14] investigated the effect of SPS on mechanically milled AA6061 (Al–Mg–Si) micro-alloy powder. The average grain size after 20h of milling was ∼35nm and increased to only ∼85nm after processing with SPS at 500°C. Microhardness and compressive tests were carried out on the consolidated near full density specimens of both unmilled and milled powders and the results showed significant increase in both hardness and compressive strengths for the milled nanocrystalline powders as a result of the very fine grain size.","aa6061, cryomilled, al 5083, nanocrystalline powders, flexural strengths, sps, xrd, nanostructure, compressive tests, aluminum alloy powders, grain size, hardness, nanoindentation, aa-5356/b4c nanocomposites, near full density, microhardness, mechanically milled","bulk nanocomposite, aa5083, consolidation, al–mg–si, sps, xrd, cryomilling, alloy, mechanically milled aa6061, milled nanocrystalline powders, nanoindentation, unmilled and milled powders, cryomilled al 5083 powder",0.176,0.231,0.2
"The main objective of this manuscript is to present and discuss the application of SLAMM to the New York coast. Although the base analysis considers a range of different possible SLR scenarios, the effects of various sources of uncertainties such as input parameters and driving data are not accounted for. In addition, refined and site-specific data are often not available requiring the use of regional data collected from literature and professional judgement in order to run the model. To ignore the effects of these uncertainties on predictions may make interpretation of the results and subsequent decision making misleading since the likelihood and probabilities of predicted outcomes would be unknown. A unique capability of the current version of SLAMM is the ability to aggregate multiple types of input-data uncertainty to create outputs accompanied by probability statements and confidence intervals. Uncertainty in elevation data layers have been considered by several modeling groups to various extents (Gesch, 2009; Gilmer and Ferdaña, 2012; Schmid et al., 2014). However, to the best of our knowledge, no other marsh migration model simultaneously accounts for the combined effects of uncertainty in spatial inputs (DEM, VDATUM, etc.) and parameter choices (accretion rates, tide ranges, etc.) on landcover projections. This added feature of SLAMM allows results to be evaluated in terms of their likelihood of occurrence with respect to input-data and parameter uncertainties. Further, by assigning wide ranges of uncertainty when appropriate, it permits the production of meaningful projections in areas where high-quality local data are not available.","new york coast, tide ranges, probability statements, slamm, uncertainty, driving data, marsh migration model, input parameters, slr scenarios, professional judgement, accretion rates, dem, landcover projections, elevation data layers, likelihood of occurrence, vdatum, parameter choices, spatial inputs, regional data, confidence intervals","marsh migration model, vdatum, accretion rates, present and discuss the application of slamm to the new york coast, parameter choices, spatial inputs, dem, landcover projections, tide ranges, slr, slamm",0.45,0.818,0.581
"In this section we wish to calculate the cross section for the absorption of massless scalars by the self-dual string in the world volume of the M-theory five-brane. We will adopt an entirely world volume approach similar to that of [21–23]. We begin by writing the equation satisfied by the s-wave with energy ω, φ(r,t)=φ(r)eiωt, of the linear fluctuations of the four overall transverse scalars about the self-dual string, (it is known that there are problems when one considers higher angular momentum modes [23], one must take care with the validity of the linearized approximation, this is discussed in [13]): (15)ρ−3ddρρ3ddρ+1+R6ω6ρ6φ(ρ)=0, where ρ=rω, R=Q1/3ℓp. Note, as pointed out by [11] world volume solitons have a much sharper potential than the Coulomb type potential typical of brane solutions in supergravity; thus this scattering is different to that of the string in six-dimensional supergravity. Nevertheless, for small ωR one may solve this problem by matching an approximate solution in the inner region to an approximate solution in the outer region; this follows closely the supergravity calculation [24].","linear fluctuations, massless scalars, absorption, higher angular momentum modes, supergravity calculation, coulomb type potential, world volume approach, m-theory five-brane, outer region, linearized approximation, transverse scalars, cross section, inner region, self-dual string","small ωr, linear fluctuations, supergravity calculation, higher angular momentum modes, world volume solitons, calculate the cross section for the absorption of massless scalars, approximate solution, entirely world volume approach, linearized approximation, brane solutions",0.286,0.4,0.333
"The viscoelastic behavior of elastomers containing small amounts of unattached chains has been investigated to characterize the dynamics of the polymer chains trapped in fixed networks [66–68]. Polymer chains trapped in fixed networks constitute a simpler system for the study of the polymer chain dynamics than the corresponding uncrosslinked polymer melts. This is because the complicated effect of the motion of the surrounding chains on the dynamics of the probe chain – called “constraint release” [69] – is absent in the fixed network systems. Most of the earlier studies employed randomly crosslinked elastomers as host networks. In this case, precise control of the mesh size of the host networks is not possible, and the mesh size has a broad distribution. The end-linking systems give the host networks a more uniform mesh size, and they can control the mesh size by the size of the precursor chains. We investigated the dynamic viscoelasticity of end-linked PDMS elastomers containing unattached linear PDMS as functions of the size of the unattached chains (Mg) and the network mesh (Mx) (Fig. 9a) [70]. We employed two types of host networks with Mx>Me and Mx<Me where Me (≈10,000 for PDMS) is the molecular mass between adjacent entanglements in the molten state. The Mx>Me and Mx<Me networks (designated as NL and NS, respectively) were designed by end-linking the long (Mn=84,000) and short precursor chains (Mn=4,550), respectively. The mesh of the NL networks is dominated by trapped entanglements, while that of the NS network is governed by chemical cross-links.","elastomers, fixed networks, polymer chain dynamics, mesh size, uncrosslinked polymer melts, precursor chains, entanglements, constraint release, dynamic viscoelasticity, end-linking systems, unattached chains, host networks, pdms elastomers, chemical cross-links, polymer chains, viscoelastic behavior","polymer melts, pdms, elastomers, mesh, nl, precursor chains, probe chain, mx, ns, polymer chains, mg, characterize the dynamics of the polymer chains, unattached chains, viscoelastic behavior, control of the mesh size, polymer chain, crosslinked elastomers",0.312,0.294,0.303
"Brodsky and Lepage [8] have proposed a formula for meson pair production which looks similar to (25), except for a different charge factor and the appearance of the timelike electromagnetic meson form factor instead of the annihilation form factor R(s). This formula was obtained from the leading-twist result by neglecting part of the amplitudes with opposite photon helicities. As has been pointed out in [9], this part is however not approximately independent of the pion distribution amplitude and not generically small. We also remark that the appearance of Fπ(s) in the γγ→π+π− amplitude is no longer observed if corrections from partonic transverse momentum in the hard scattering process are taken into account, and that these corrections are not numerically small for the values of s we are dealing with [13]. Notice further that two-photon annihilation produces two pions in a C-even state, whereas the electromagnetic form factor projects on the C-odd state of a pion pair. In contrast, our annihilation form factor R2π(s) is C-even as discussed after (24). Finally, due to a particular charge factor, the Brodsky–Lepage formula leads to a vanishing cross section for γγ annihilation into pairs of neutral pseudoscalars.","electromagnetic form factor, pion distribution amplitude, partonic transverse momentum, photon helicities, annihilation form factor, c-odd state, two-photon annihilation, neutral pseudoscalars, timelike electromagnetic meson form factor, leading-twist result, annihilation form factor r2π(s), c-even state, hard scattering process, meson pair production","electromagnetic form factor, partonic transverse momentum, pions, annihilation form factor, brodsky–lepage formula, pion pair, meson pair, neutral pseudoscalars, vanishing cross section for γγ annihilation, formula, neglecting part of the amplitudes with opposite photon helicities, electromagnetic meson, hard scattering process",0.357,0.385,0.37
"As future work on the protocol, we would promote two items. Firstly, the two mobility models that we have considered in this work propose possible way to capture social context in the way nodes move in the physical space, yet still potentially allowing nodes to explore the geographical regions considered in its entirety. Further insights to the performance potential could be given through the assessment of the protocol with other mobilities that can extend the physical region of movement as well as impose potential restrictions on the nodes mobility, for example by forcing similar nodes to move within specifically defined areas. Secondly, the different forwarding modes introduced in Section 3.3 express different levels of cooperation across the network. The push-community mode, for example, is a form of interest-community selfishness and assumes reciprocation in the nodes’ behaviour. The vulnerability (resp. resilience) of the protocol to different instances of node misbehaviours is a research item worth exploring.","mobility models, push-community mode, cooperation, vulnerability, geographical regions, forwarding modes, protocol, resilience, node misbehaviours, social context, interest-community selfishness","forcing similar nodes to move within specifically defined areas, physical space, performance potential, extend the physical region of movement, geographical regions, network, forwarding modes, node, nodes, protocol, impose potential restrictions, mobility models",0.364,0.333,0.348
"Copper-catalyzed Huisgen cycloadditions have been recently extensively studied by polymer chemists for the synthesis of functional polymers (either end-functional or side-functional). The post-functionalization of synthetic polymers is an important feature of macromolecular engineering as many polymerization mechanisms are rather sensitive to the presence of bulky or functional groups. For example, a wide variety of telechelic polymers (i.e. polymers with defined chain-ends) can be efficiently prepared using a combination of atom transfer radical polymerization (ATRP) and CuAAC. This strategy was independently reported in early 2005 by van Hest and Opsteen [31], Lutz et al. [32], and Matyjaszewski et al. [33]. Such step was important since ATRP is a very popular polymerization method in modern materials science [34,35]. Indeed, ATRP is a facile technique, which allows the preparation of well-defined polymers with narrow molecular weight distribution, predictable chain length, controlled microstructure, defined chain-ends and controlled architecture [36–41]. However, the range of possibilities of ATRP can be further broadened by CuAAC. For instance, the ω-bromine chain-ends of polymers prepared by ATRP can be transformed into azides by nucleophilic substitution and subsequently reacted with functional alkynes (Scheme 3) [32]. Due to the very high chemoselectivity of CuAAC, this method is highly modular and may be used to synthesize a wide range of ω-functional polymers. Moreover, the formed triazole rings are not “passive” spacers but interesting functions exhibiting H-bonds capability, aromaticity and rigidity.","cuaac, functional polymers, ω-functional polymers, atom transfer radical polymerization (atrp), triazole rings, narrow molecular weight distribution, copper-catalyzed huisgen cycloadditions, telechelic polymers, well-defined polymers, macromolecular engineering, controlled architecture","cuaac, functional polymers, nucleophilic substitution, azides, triazole rings, atom transfer radical polymerization, polymerization, polymers, alkynes, macromolecular engineering, atrp",0.364,0.364,0.364
